x,y,T
9.4,3.8,601.946
9.6,3.8,601.707
9.8,3.8,601.59
10,3.8,601.59

0,4,580.225
0.2,4,580.225
0.4,4,580.249
0.6,4,580.294
0.8,4,580.361
1,4,580.448
1.2,4,580.556
1.4,4,580.685
1.6,4,580.835
1.8,4,581.007
2,4,581.199
2.2,4,581.413
2.4,4,581.649
2.6,4,581.907
2.8,4,582.186
3,4,582.489
3.2,4,582.814
3.4,4,583.162
3.6,4,583.533
3.8,4,583.929
4,4,584.35
4.2,4,584.796
4.4,4,585.269
4.6,4,585.768
4.8,4,586.296
5,4,586.852
5.2,4,587.44
5.4,4,588.059
5.6,4,588.713
5.8,4,589.402
6,4,590.13
6.2,4,590.899
6.4,4,591.712
6.6,4,592.572
6.8,4,593.485
7,4,594.455
7.2,4,595.487
7.4,4,596.59
7.6,4,597.774
7.8,4,599.061
8,4,600.507
8.2,4,601.514
8.4,4,602.134
8.6,4,602.38
8.8,4,602.242
9,4,601.671
9.2,4,601.271
9.4,4,600.987
9.6,4,600.803
9.8,4,600.713
10,4,600.713

0,4.2,580.131
0.2,4.2,580.131
0.4,4.2,580.154
0.6,4.2,580.199
0.8,4.2,580.264
1,4.2,580.35
1.2,4.2,580.456
1.4,4.2,580.583
1.6,4.2,580.73
1.8,4.2,580.898
2,4.2,581.087
2.2,4.2,581.296
2.4,4.2,581.527
2.6,4.2,581.78
2.8,4.2,582.053
3,4.2,582.349
3.2,4.2,582.667
3.4,4.2,583.007
3.6,4.2,583.371
3.8,4.2,583.757
4,4.2,584.168
4.2,4.2,584.602
4.4,4.2,585.062
4.6,4.2,585.548
4.8,4.2,586.06
5,4.2,586.6
5.2,4.2,587.168
5.4,4.2,587.767
5.6,4.2,588.396
5.8,4.2,589.058
6,4.2,589.755
6.2,4.2,590.488
6.4,4.2,591.259
6.6,4.2,592.07
6.8,4.2,592.923
7,4.2,593.821
7.2,4.2,594.763
7.4,4.2,595.751
7.6,4.2,596.78
7.8,4.2,597.836
8,4.2,598.87
8.2,4.2,599.687
8.4,4.2,600.239
8.6,4.2,600.516
8.8,4.2,600.531
9,4.2,600.334
9.2,4.2,600.121
9.4,4.2,599.946
9.6,4.2,599.825
9.8,4.2,599.763
10,4.2,599.763

0,4.4,580.034
0.2,4.4,580.034
0.4,4.4,580.058
0.6,4.4,580.101
0.8,4.4,580.165
1,4.4,580.249
1.2,4.4,580.353
1.4,4.4,580.477
1.6,4.4,580.622
1.8,4.4,580.786
2,4.4,580.971
2.2,4.4,581.177
2.4,4.4,581.402
2.6,4.4,581.649
2.8,4.4,581.917
3,4.4,582.206
3.2,4.4,582.516
3.4,4.4,582.848
3.6,4.4,583.202
3.8,4.4,583.579
4,4.4,583.979
4.2,4.4,584.401
4.4,4.4,584.848
4.6,4.4,585.319
4.8,4.4,585.815
5,4.4,586.337
5.2,4.4,586.885
5.4,4.4,587.461
5.6,4.4,588.065
5.8,4.4,588.699
6,4.4,589.362
6.2,4.4,590.057
6.4,4.4,590.784
6.6,4.4,591.543
6.8,4.4,592.336
7,4.4,593.159
7.2,4.4,594.012
7.4,4.4,594.888
7.6,4.4,595.776
7.8,4.4,596.652
8,4.4,597.468
8.2,4.4,598.144
8.4,4.4,598.637
8.6,4.4,598.934
8.8,4.4,599.051
9,4.4,599.029
9.2,4.4,598.953
9.4,4.4,598.87
9.6,4.4,598.805
9.8,4.4,598.77
10,4.4,598.77

0,4.6,579.936
0.2,4.6,579.936
0.4,4.6,579.959
0.6,4.6,580.002
0.8,4.6,580.065
1,4.6,580.147
1.2,4.6,580.249
1.4,4.6,580.37
1.6,4.6,580.512
1.8,4.6,580.673
2,4.6,580.853
2.2,4.6,581.054
2.4,4.6,581.275
2.6,4.6,581.516
2.8,4.6,581.777
3,4.6,582.059
3.2,4.6,582.362
3.4,4.6,582.685
3.6,4.6,583.03
3.8,4.6,583.396
4,4.6,583.784
4.2,4.6,584.195
4.4,4.6,584.627
4.6,4.6,585.083
4.8,4.6,585.562
5,4.6,586.065
5.2,4.6,586.593
5.4,4.6,587.145
5.6,4.6,587.723
5.8,4.6,588.327
6,4.6,588.956
6.2,4.6,589.612
6.4,4.6,590.295
6.6,4.6,591.002
6.8,4.6,591.734
7,4.6,592.487
7.2,4.6,593.256
7.4,4.6,594.033
7.6,4.6,594.803
7.8,4.6,595.545
8,4.6,596.226
8.2,4.6,596.802
8.4,4.6,597.247
8.6,4.6,597.552
8.8,4.6,597.726
9,4.6,597.798
9.2,4.6,597.809
9.4,4.6,597.794
9.6,4.6,597.773
9.8,4.6,597.76
10,4.6,597.76

0,4.8,579.837
0.2,4.8,579.837
0.4,4.8,579.859
0.6,4.8,579.901
0.8,4.8,579.963
1,4.8,580.043
1.2,4.8,580.143
1.4,4.8,580.262
1.6,4.8,580.4
1.8,4.8,580.557
2,4.8,580.734
2.2,4.8,580.93
2.4,4.8,581.145
2.6,4.8,581.381
2.8,4.8,581.635
3,4.8,581.91
3.2,4.8,582.205
3.4,4.8,582.519
3.6,4.8,582.854
3.8,4.8,583.21
4,4.8,583.586
4.2,4.8,583.984
4.4,4.8,584.402
4.6,4.8,584.842
4.8,4.8,585.304
5,4.8,585.788
